GP,Date,,Opponent,GF,GA,Outcome,,,ShotsFor,PPIM,PPPG,PPPO,PSHG,,ShotsAgainst,OPIM,OPPG,OPPO,OSHG,,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO
39,2015-01-03,,Montreal Canadiens,1,4,L,,,31,10,0,,0,,33,4,0,,0,,59,36,62.1,43,30,58.9,24,27,47.1,69.8,85.9
40,2015-01-07,,Boston Bruins,2,3,L,OT,,39,4,0,,0,,24,8,0,,0,,57,43,57.0,45,33,57.7,25,26,49.0,46.7,92.4
41,2015-01-10,@,Montreal Canadiens,2,1,W,OT,,37,8,1,,0,,28,8,0,,0,,53,40,57.0,37,28,56.9,23,15,60.5,69.0,99.0
42,2015-01-13,,Minnesota Wild,7,2,W,,,37,2,1,,0,,32,4,0,,0,,57,56,50.4,40,42,48.8,29,27,51.8,46.4,111.5
43,2015-01-16,@,New York Islanders,3,6,L,,,24,8,2,,0,,35,6,1,,0,,43,58,42.6,28,38,42.4,28,25,52.8,57.6,88.3
44,2015-01-18,,New York Rangers,2,5,L,,,34,12,1,,0,,31,6,1,,0,,49,34,59.0,38,22,63.3,25,24,51.0,55.2,83.4
45,2015-01-20,@,Philadelphia Flyers,2,3,L,OT,,35,34,0,,1,,40,59,1,,0,,38,39,49.4,30,28,51.7,18,23,43.9,38.0,95.8
46,2015-01-21,,Chicago Blackhawks,2,3,L,SO,,35,4,0,,0,,26,4,1,,0,,54,48,52.9,42,37,53.2,16,23,41.0,54.6,101.9
47,2015-01-27,,Winnipeg Jets,5,3,W,,,30,7,2,,0,,22,13,0,,0,,46,42,52.3,33,30,52.4,21,22,48.8,48.3,98.4
48,2015-01-28,@,Washington Capitals,0,4,L,,,27,32,0,,0,,36,22,1,,0,,52,45,53.6,32,32,50.0,18,34,34.6,65.9,87.0
49,2015-01-30,@,New Jersey Devils,2,1,W,OT,,43,6,1,,0,,14,8,0,,0,,54,20,73.0,43,17,71.7,29,24,54.7,64.9,94.4
50,2015-02-01,,Nashville Predators,0,4,L,,,21,10,0,,0,,24,8,1,,0,,40,35,53.3,24,26,48.0,20,18,52.6,70.4,85.7
51,2015-02-04,@,Edmonton Oilers,2,0,W,,,26,4,0,,0,,22,2,0,,0,,56,37,60.2,39,27,59.1,24,29,45.3,60.7,107.7
52,2015-02-06,@,Calgary Flames,4,0,W,,,30,8,0,,0,,21,6,0,,0,,46,29,61.3,40,21,65.6,18,21,46.2,47.8,113.8
53,2015-02-07,@,Vancouver Canucks,0,5,L,,,31,31,0,,0,,27,29,2,,0,,50,33,60.2,37,27,57.8,26,29,47.3,53.2,85.7
54,2015-02-11,,Detroit Red Wings,4,1,W,,,21,2,0,,0,,24,4,1,,0,,35,47,42.7,27,35,43.5,18,20,47.4,29.4,121.1
55,2015-02-12,@,Ottawa Senators,5,4,W,SO,,29,16,0,,0,,33,12,1,,0,,49,41,54.4,37,31,54.4,26,42,38.2,39.5,101.2
56,2015-02-15,@,Chicago Blackhawks,1,2,L,SO,,37,6,0,,0,,32,6,0,,0,,53,54,49.5,40,42,48.8,32,34,48.5,42.5,99.8
57,2015-02-17,,Washington Capitals,1,3,L,,,33,41,0,,0,,33,27,2,,1,,46,39,54.1,34,33,50.7,18,19,48.6,49.7,104.2
58,2015-02-19,,Columbus Blue Jackets,1,2,L,,,30,15,0,,0,,30,11,0,,1,,48,37,56.5,35,27,56.5,20,22,47.6,52.5,98.4
59,2015-02-21,@,St. Louis Blues,4,2,W,,,29,16,1,,0,,23,20,0,,0,,43,43,50.0,32,31,50.8,27,25,51.9,67.0,100.4
60,2015-02-22,,Florida Panthers,5,1,W,,,26,6,1,,0,,35,6,0,,0,,31,44,41.3,22,34,39.3,19,20,48.7,50.0,118.9
61,2015-02-25,@,Washington Capitals,4,3,W,,,26,18,1,,1,,24,18,1,,0,,37,35,51.4,27,25,51.9,17,23,42.5,50.0,100.8
62,2015-03-01,,Columbus Blue Jackets,5,3,W,,,41,8,3,,0,,25,27,1,,1,,46,33,58.2,32,23,58.2,25,23,52.1,63.0,101.9
63,2015-03-04,@,Colorado Avalanche,1,3,L,,,29,6,0,,0,,22,2,1,,0,,68,30,69.4,43,19,69.4,28,21,57.1,61.1,91.2
64,2015-03-06,@,Anaheim Ducks,5,2,W,,,21,8,0,,0,,29,10,0,,0,,35,40,46.7,28,29,49.1,20,30,40.0,35.5,122.6
65,2015-03-07,@,Los Angeles Kings,1,0,W,OT,,18,6,0,,0,,31,10,0,,0,,33,35,48.5,25,27,48.1,22,20,52.4,46.1,107.1
66,2015-03-09,@,San Jose Sharks,1,2,L,SO,,40,10,0,,0,,30,10,0,,0,,79,45,63.7,55,35,61.1,28,19,59.6,69.6,98.9
67,2015-03-12,,Edmonton Oilers,6,4,W,,,34,15,1,,1,,29,13,2,,0,,48,50,49.0,39,39,50.0,26,23,53.1,58.7,106.0
68,2015-03-14,,Boston Bruins,0,2,L,,,30,8,0,,0,,30,6,0,,0,,47,42,52.8,37,30,55.2,21,27,43.8,61.8,91.3
69,2015-03-15,,Detroit Red Wings,1,5,L,,,43,64,0,,0,,25,14,1,,0,,52,34,60.5,35,22,61.4,31,20,60.8,56.7,76.9
70,2015-03-17,@,New Jersey Devils,0,2,L,,,35,6,0,,0,,19,2,0,,0,,48,26,64.9,40,21,65.6,24,28,46.2,78.3,88.9
71,2015-03-19,@,Dallas Stars,1,2,L,,,32,14,1,,0,,26,14,0,,0,,54,44,55.1,38,32,54.3,18,31,36.7,64.7,90.5
72,2015-03-21,@,Arizona Coyotes,3,1,W,,,37,8,1,,0,,31,10,0,,1,,49,43,53.3,41,32,56.2,23,28,45.1,60.4,105.9
73,2015-03-24,,St. Louis Blues,2,3,L,OT,,26,7,0,,0,,35,13,0,,0,,47,53,47.0,35,40,46.7,20,29,40.8,48.2,99.5
74,2015-03-26,@,Carolina Hurricanes,2,5,L,,,29,10,0,,0,,28,8,1,,0,,45,38,54.2,39,25,60.9,23,27,46.0,53.7,84.8
75,2015-03-28,,Arizona Coyotes,3,2,W,,,46,26,2,,0,,24,21,0,,0,,49,36,57.6,43,23,65.2,23,22,51.1,66.5,92.5
76,2015-03-29,,San Jose Sharks,3,2,W,SO,,33,12,1,,0,,32,4,1,,0,,48,54,47.1,37,38,49.3,24,32,42.9,50.0,99.6
77,2015-04-01,,Philadelphia Flyers,1,4,L,,,25,12,0,,0,,31,6,1,,0,,38,32,54.3,26,30,46.4,26,16,61.9,57.7,92.0
78,2015-04-04,@,Columbus Blue Jackets,3,5,L,,,36,6,0,,0,,35,6,0,,0,,39,46,45.9,34,37,47.9,24,31,43.6,59.4,93.5
79,2015-04-05,@,Philadelphia Flyers,1,4,L,,,47,10,1,,0,,20,16,3,,0,,69,40,63.3,52,29,64.2,24,22,52.2,71.3,93.8
80,2015-04-07,@,Ottawa Senators,3,4,L,OT,,28,6,0,,0,,44,8,0,,1,,45,57,44.1,35,44,44.3,23,26,46.9,40.8,104.7
81,2015-04-10,,New York Islanders,1,3,L,,,38,2,0,,0,,26,4,0,,1,,58,37,61.1,42,33,56.0,25,16,61.0,64.0,94.1
82,2015-04-11,@,Buffalo Sabres,2,0,W,,,38,2,0,,0,,28,2,0,,0,,67,44,60.4,53,33,61.6,45,25,64.3,60.5,105.3
