Opponent,GF,GA,Outcome
Washington Capitals,8,7,W
Montreal Canadiens,4,1,W
Carolina Hurricanes,7,1,W
Boston Bruins,5,1,W
St. Louis Blues,0,3,L
Boston Bruins,3,4,L
Nashville Predators,4,2,W
Columbus Blue Jackets,4,3,W
St. Louis Blues,4,1,W
Calgary Flames,2,3,L
Colorado Avalanche,4,1,W
Arizona Coyotes,3,4,L
Vancouver Canucks,4,0,W
Winnipeg Jets,4,3,W
Columbus Blue Jackets,1,2,L
Detroit Red Wings,2,5,L
Carolina Hurricanes,3,1,W
Philadelphia Flyers,4,2,W
Dallas Stars,2,3,L
Chicago Blackhawks,1,4,L
Tampa Bay Lightning,5,2,W
Buffalo Sabres,4,3,W
Winnipeg Jets,7,4,W
Edmonton Oilers,3,2,W
Vancouver Canucks,3,0,W
Calgary Flames,3,4,L
Philadelphia Flyers,0,4,L
New Jersey Devils,6,4,W
Florida Panthers,4,0,W
Buffalo Sabres,3,1,W
Ottawa Senators,1,2,L
New York Islanders,3,4,L
Philadelphia Flyers,2,6,L
Chicago Blackhawks,1,5,L
New York Rangers,4,3,W
Carolina Hurricanes,3,2,W
Columbus Blue Jackets,4,1,W
New Jersey Devils,7,4,W
Toronto Maple Leafs,3,5,L
New York Rangers,2,3,L
St. Louis Blues,4,5,L
Chicago Blackhawks,1,10,L
Nashville Predators,4,0,W
Washington Capitals,3,2,W
Tampa Bay Lightning,4,5,L
Florida Panthers,4,3,W
New York Rangers,5,4,W
Florida Panthers,4,3,W
Tampa Bay Lightning,1,7,L
Edmonton Oilers,2,1,W
Winnipeg Jets,2,1,W
Minnesota Wild,1,2,L
Winnipeg Jets,1,7,L
Edmonton Oilers,3,2,W
Calgary Flames,1,2,L
Vancouver Canucks,2,4,L
Arizona Coyotes,3,1,W
Washington Capitals,1,4,L
Nashville Predators,4,5,L
Buffalo Sabres,5,4,W
Ottawa Senators,3,1,W
Chicago Blackhawks,1,2,L
Vancouver Canucks,2,5,L
Boston Bruins,3,4,L
Tampa Bay Lightning,5,2,W
Philadelphia Flyers,5,4,W
Buffalo Sabres,4,0,W
Buffalo Sabres,5,1,W
New York Rangers,3,4,L
New York Islanders,4,3,W
Toronto Maple Leafs,3,4,L
Colorado Avalanche,1,2,L
Vegas Golden Knights,1,2,L
Arizona Coyotes,4,2,W
Colorado Avalanche,2,4,L
Columbus Blue Jackets,3,2,W
Anaheim Ducks,0,4,L
Columbus Blue Jackets,5,4,W
Carolina Hurricanes,1,2,L
Detroit Red Wings,1,4,L
Philadelphia Flyers,5,1,W
Carolina Hurricanes,0,4,L
New York Islanders,4,0,W
Boston Bruins,6,5,W
Detroit Red Wings,4,1,W
New York Rangers,5,2,W
Anaheim Ducks,3,5,L
Los Angeles Kings,3,1,W
San Jose Sharks,1,2,L
Carolina Hurricanes,3,1,W
Minnesota Wild,6,3,W
San Jose Sharks,5,2,W
Washington Capitals,7,4,W
New Jersey Devils,1,3,L
