GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak
1,2014-10-09,,Anaheim Ducks,6,4,W,,1,0,0,W 1
2,2014-10-11,@,Toronto Maple Leafs,5,2,W,,2,0,0,W 2
3,2014-10-16,,Dallas Stars,2,3,L,,2,1,0,L 1
4,2014-10-18,,New York Islanders,3,1,W,,3,1,0,W 1
5,2014-10-22,,Philadelphia Flyers,3,5,L,,3,2,0,L 1
6,2014-10-23,@,Detroit Red Wings,3,4,L,OT,3,2,1,L 2
7,2014-10-25,@,Nashville Predators,3,0,W,,4,2,1,W 1
8,2014-10-28,,New Jersey Devils,8,3,W,,5,2,1,W 2
9,2014-10-30,,Los Angeles Kings,3,0,W,,6,2,1,W 3
10,2014-11-01,,Buffalo Sabres,5,0,W,,7,2,1,W 4
11,2014-11-04,@,Minnesota Wild,4,1,W,,8,2,1,W 5
12,2014-11-06,@,Winnipeg Jets,4,3,W,SO,9,2,1,W 6
13,2014-11-08,@,Buffalo Sabres,6,1,W,,10,2,1,W 7
14,2014-11-11,@,New York Rangers,0,5,L,,10,3,1,L 1
15,2014-11-14,@,Toronto Maple Leafs,2,1,W,,11,3,1,W 1
16,2014-11-15,,New York Rangers,3,2,W,SO,12,3,1,W 2
17,2014-11-18,@,Montreal Canadiens,4,0,W,,13,3,1,W 3
18,2014-11-21,,New York Islanders,4,5,L,SO,13,3,2,L 1
19,2014-11-22,@,New York Islanders,1,4,L,,13,4,2,L 2
20,2014-11-24,@,Boston Bruins,3,2,W,OT,14,4,2,W 1
21,2014-11-26,,Toronto Maple Leafs,4,3,W,OT,15,4,2,W 2
22,2014-11-28,,Carolina Hurricanes,2,4,L,,15,5,2,L 1
23,2014-11-29,@,Carolina Hurricanes,3,2,W,,16,5,2,W 1
24,2014-12-02,,New Jersey Devils,1,0,W,,17,5,2,W 2
25,2014-12-04,,Vancouver Canucks,0,3,L,,17,6,2,L 1
26,2014-12-06,,Ottawa Senators,3,2,W,,18,6,2,W 1
27,2014-12-08,@,New York Rangers,3,4,L,OT,18,6,3,L 1
28,2014-12-12,,Calgary Flames,3,1,W,,19,6,3,W 1
29,2014-12-13,@,Columbus Blue Jackets,3,4,L,SO,19,6,4,L 1
30,2014-12-15,,Tampa Bay Lightning,4,2,W,,20,6,4,W 1
31,2014-12-18,,Colorado Avalanche,1,0,W,OT,21,6,4,W 2
32,2014-12-20,,Florida Panthers,3,1,W,,22,6,4,W 3
33,2014-12-22,@,Florida Panthers,3,4,L,SO,22,6,5,L 1
34,2014-12-23,@,Tampa Bay Lightning,3,4,L,,22,7,5,L 2
35,2014-12-27,,Washington Capitals,0,3,L,,22,8,5,L 3
36,2014-12-29,@,New Jersey Devils,1,3,L,,22,9,5,L 4
37,2014-12-31,,Carolina Hurricanes,2,1,W,,23,9,5,W 1
38,2015-01-02,,Tampa Bay Lightning,6,3,W,,24,9,5,W 2
39,2015-01-03,,Montreal Canadiens,1,4,L,,24,10,5,L 1
40,2015-01-07,,Boston Bruins,2,3,L,OT,24,10,6,L 2
41,2015-01-10,@,Montreal Canadiens,2,1,W,OT,25,10,6,W 1
42,2015-01-13,,Minnesota Wild,7,2,W,,26,10,6,W 2
43,2015-01-16,@,New York Islanders,3,6,L,,26,11,6,L 1
44,2015-01-18,,New York Rangers,2,5,L,,26,12,6,L 2
